ID_GQ,Ecoregion
S_22_00012,Eastern Arctic
S_22_00040,Eastern Arctic
S_22_00058,Western Arctic
S_22_00078,Western Arctic
S_22_00102,Western Arctic
S_22_00143,Western Arctic
S_22_00155,Western Arctic
S_22_00170,Western Arctic
S_22_00189,Western Arctic
S_22_00207,Eastern Arctic
S_22_00043,Eastern Arctic
S_22_00065,Western Arctic
S_22_00081,Western Arctic
S_22_00103,Western Arctic
S_22_00105,Western Arctic
S_22_00128,Western Arctic
S_22_00183,Western Arctic
S_22_00206,Eastern Arctic
S_22_00227,Eastern Arctic
S_22_00276,Eastern Arctic
S_22_00300,Western Arctic
S_22_07670,Gulf of Saint Lawrence
S_22_07675,Gulf of Saint Lawrence
S_22_07680,Gulf of Saint Lawrence
S_22_07683,Gulf of Saint Lawrence
S_22_07685,Gulf of Saint Lawrence
S_22_07687,Gulf of Saint Lawrence
S_22_07689,Gulf of Saint Lawrence
S_22_07691,Gulf of Saint Lawrence
S_22_07692,Gulf of Saint Lawrence
S_22_07694,Gulf of Saint Lawrence
S_22_07695,Gulf of Saint Lawrence
S_22_07697,Gulf of Saint Lawrence
S_22_07700,Gulf of Saint Lawrence
S_22_07701,Gulf of Saint Lawrence
S_22_07703,Gulf of Saint Lawrence
S_22_07705,Gulf of Saint Lawrence
S_22_07707,Gulf of Saint Lawrence
S_22_07708,Gulf of Saint Lawrence
S_22_07711,Gulf of Saint Lawrence
S_22_07712,Gulf of Saint Lawrence
S_22_07714,Gulf of Saint Lawrence
S_22_00002,Eastern Arctic
S_22_00015,Eastern Arctic
S_22_00029,Eastern Arctic
S_22_00053,Western Arctic
S_22_00059,Western Arctic
S_22_00072,Western Arctic
S_22_00074,Western Arctic
S_22_00076,Western Arctic
S_22_00092,Western Arctic
S_22_00110,Western Arctic
S_22_00115,Eastern Arctic
S_22_00117,Eastern Arctic
S_22_00120,Eastern Arctic
S_22_00123,Western Arctic
S_22_00142,Western Arctic
S_22_00150,Eastern Arctic
S_22_00156,Western Arctic
S_22_00001,Eastern Arctic
S_22_00003,Eastern Arctic
S_22_00004,Eastern Arctic
S_22_00005,Eastern Arctic
S_22_00008,Eastern Arctic
S_22_00009,Eastern Arctic
S_22_00016,Eastern Arctic
S_22_00018,Eastern Arctic
S_22_00020,Eastern Arctic
S_22_00024,Eastern Arctic
S_22_00027,Eastern Arctic
S_22_00028,Eastern Arctic
S_22_00028_rep,Eastern Arctic
S_22_00031,Eastern Arctic
S_22_00032,Eastern Arctic
S_22_00034,Eastern Arctic
S_22_00035,Eastern Arctic
S_22_00038,Eastern Arctic
S_22_00041,Eastern Arctic
S_22_00044,Eastern Arctic
S_22_00047,Eastern Arctic
S_22_00049,Western Arctic
S_22_00051,Western Arctic
S_22_00054,Western Arctic
S_22_00056,Western Arctic
S_22_00057,Western Arctic
S_22_00060,Western Arctic
S_22_00062,Western Arctic
S_22_00063,Western Arctic
S_22_00006,Eastern Arctic
S_22_00007,Eastern Arctic
S_22_00010,Eastern Arctic
S_22_00011,Eastern Arctic
S_22_00014,Eastern Arctic
S_22_00017,Eastern Arctic
S_22_00017_rep,Eastern Arctic
S_22_00019,Eastern Arctic
S_22_00021,Eastern Arctic
S_22_00025,Eastern Arctic
S_22_00026,Eastern Arctic
S_22_00030,Eastern Arctic
S_22_00033,Eastern Arctic
S_22_00037,Eastern Arctic
S_22_00039,Eastern Arctic
S_22_00042,Eastern Arctic
S_22_00055,Western Arctic
S_22_00061,Western Arctic
S_22_00064,Western Arctic
S_22_00066,Western Arctic
