sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns
S_22_00001,114131,2610453,22.872,27.733
S_22_00002,107384,1940294,18.069,22.181
S_22_00003,114400,2108216,18.428,22.592
S_22_00004,121433,2978705,24.530,30.411
S_22_00005,103433,1762789,17.043,19.772
S_22_00006,118260,3104462,26.251,32.521
S_22_00007,98604,1614036,16.369,18.486
S_22_00008,115425,2540176,22.007,26.477
S_22_00009,93124,898009,9.643,10.962
S_22_00010,122973,1831551,14.894,18.837
S_22_00011,103869,1964147,18.910,21.993
S_22_00012,103177,1791117,17.360,20.111
S_22_00014,125959,4690971,37.242,48.173
S_22_00015,123194,2343140,19.020,23.800
S_22_00016,117345,3342614,28.485,35.559
S_22_00017,111186,2393050,21.523,25.852
S_22_00017_rep,98959,1377162,13.916,15.761
S_22_00018,105449,1312479,12.447,14.420
S_22_00019,113661,2454067,21.591,26.352
S_22_00020,123821,2817371,22.754,28.910
S_22_00021,101428,1304139,12.858,15.197
S_22_00024,119340,2763437,23.156,29.152
S_22_00025,103575,1710177,16.511,19.222
S_22_00026,108871,1802861,16.560,19.818
S_22_00027,108924,1686452,15.483,18.126
S_22_00028,131368,5440533,41.414,55.143
S_22_00028_rep,121573,3285453,27.025,34.320
S_22_00029,102490,1370537,13.372,15.224
S_22_00030,115601,2983331,25.807,32.367
S_22_00031,114411,2667680,23.317,28.346
S_22_00032,112895,2573678,22.797,27.635
S_22_00033,116683,2843561,24.370,29.707
S_22_00034,106408,2406764,22.618,27.073
S_22_00035,110872,2380432,21.470,26.145
S_22_00036,105001,1803202,17.173,20.007
S_22_00037,108603,3059892,28.175,33.717
S_22_00038,116981,3277229,28.015,34.303
S_22_00039,108992,2166834,19.881,23.294
S_22_00040,109050,2544581,23.334,27.421
S_22_00041,132673,5693799,42.916,56.589
S_22_00042,123222,3945855,32.022,40.269
S_22_00043,124741,5430861,43.537,55.079
S_22_00044,103589,2291475,22.121,25.603
S_22_00045,120147,2899687,24.134,29.752
S_22_00046,126110,3050693,24.191,30.193
S_22_00047,106876,1699419,15.901,18.092
S_22_00048,116454,2756366,23.669,29.291
S_22_00049,114953,2514227,21.872,26.358
S_22_00050,122960,3586311,29.166,37.171
S_22_00051,112684,2007634,17.816,21.312
S_22_00052,109049,2359990,21.642,26.022
S_22_00053,114300,3240140,28.348,35.350
S_22_00054,122556,3076108,25.100,29.192
S_22_00055,121208,3405979,28.100,35.753
S_22_00056,138406,4490489,32.444,39.205
S_22_00057,130963,3135157,23.939,28.025
S_22_00058,117895,2874359,24.381,27.781
S_22_00059,153760,6771597,44.040,67.378
S_22_00060,111461,2120209,19.022,22.920
S_22_00061,112474,2834835,25.204,30.976
S_22_00062,112311,2096292,18.665,22.555
S_22_00063,118428,2764360,23.342,28.482
S_22_00064,106441,1841659,17.302,20.223
S_22_00065,115673,2669144,23.075,27.486
S_22_00066,105016,1573054,14.979,17.700
S_22_00067,107935,1909881,17.695,20.995
S_22_00068,98468,1098751,11.158,12.754
S_22_00069,99443,1565097,15.739,18.093
S_22_00070,115364,3086801,26.757,32.247
S_22_00071,116318,3095948,26.616,32.293
S_22_00072,114550,2909600,25.400,31.417
S_22_00073,109623,1855894,16.930,19.910
S_22_00074,123095,4075050,33.105,41.212
S_22_00075,116327,3216813,27.653,33.199
S_22_00076,112701,2629116,23.328,27.953
S_22_00077,101604,1441260,14.185,16.225
S_22_00078,107742,2178049,20.215,23.492
S_22_00079,129369,3483389,26.926,34.801
S_22_00080,113981,2942805,25.818,31.489
S_22_00081,111500,3393001,30.431,36.804
S_22_00082,103542,1903630,18.385,20.842
S_22_00083,118541,3976076,33.542,41.169
S_22_00084,113937,3379711,29.663,35.674
S_22_00085,106414,2530229,23.777,28.111
S_22_00086,116437,3444505,29.583,36.384
S_22_00088,111161,2497515,22.468,26.658
S_22_00089,99082,1781306,17.978,20.520
S_22_00090,118070,2634206,22.311,26.906
S_22_00091,124063,4251142,34.266,43.121
S_22_00092,120080,4617516,38.454,47.822
S_22_00093,125945,4398303,34.922,43.773
S_22_00094,116263,3354072,28.849,35.470
S_22_00095,115799,3758863,32.460,39.103
S_22_00099,97688,1431685,14.656,16.503
S_22_00100,121279,2414721,19.910,24.719
S_22_00101,103891,1378435,13.268,15.273
S_22_00102,120171,3181834,26.478,33.520
S_22_00103,125025,1255847,10.045,13.021
S_22_00105,120923,2513004,20.782,25.877
S_22_00107,133939,4518673,33.737,46.575
S_22_00108,106704,1383983,12.970,15.579
S_22_00109,146152,3417486,23.383,32.325
S_22_00110,115100,2273065,19.749,24.851
S_22_00112,114784,2056637,17.917,22.730
S_22_00113,116669,3949904,33.856,42.575
S_22_00115,105169,2173023,20.662,24.633
S_22_00116,121860,3808166,31.250,39.334
S_22_00117,107340,2555991,23.812,28.347
S_22_00118,125277,3861669,30.825,39.745
S_22_00119,133393,4346324,32.583,43.027
S_22_00120,119727,3296232,27.531,33.953
S_22_00121,108331,1897102,17.512,20.504
S_22_00122,97990,1368618,13.967,16.063
S_22_00123,112598,2541174,22.569,27.387
S_22_00124,121562,5645181,46.439,59.467
S_22_00125,108612,2561664,23.585,27.892
S_22_00126,122054,3650340,29.908,36.884
S_22_00127,119358,3006996,25.193,32.008
S_22_00128,127546,4975042,39.006,51.300
S_22_00129,100365,1828700,18.220,20.709
S_22_00130,93789,1047878,11.173,12.792
S_22_00131,118262,1947552,16.468,20.459
S_22_00132,90961,838737,9.221,10.450
S_22_00133,111461,2356724,21.144,25.070
S_22_00134,120227,4400937,36.605,47.511
S_22_00135,127437,3830443,30.058,39.626
S_22_00136,110096,2268227,20.602,24.936
S_22_00137,113972,2000066,17.549,21.631
S_22_00138,90811,1014941,11.176,12.812
S_22_00139,104800,1429442,13.640,16.293
S_22_00140,99819,1250826,12.531,14.362
S_22_00141,130532,3694021,28.300,36.770
S_22_00142,110112,1974001,17.927,21.129
S_22_00143,122583,3252848,26.536,34.242
S_22_00144,119024,2227710,18.716,23.355
S_22_00145,131244,3586841,27.330,36.179
S_22_00146,110445,2462956,22.300,27.399
S_22_00148,112564,2394164,21.269,26.554
S_22_00149,110165,3507236,31.836,38.098
S_22_00149_rep,115674,3486165,30.138,37.202
S_22_00150,119557,2328002,19.472,23.689
S_22_00151,125756,3903847,31.043,39.528
S_22_00153,105612,1151135,10.900,13.917
S_22_00154,123052,1231007,10.004,12.834
S_22_00155,77935,378140,4.852,5.378
S_22_00156,123626,1915255,15.492,19.464
S_22_00157,132251,1509387,11.413,14.443
S_22_00161,117345,2774103,23.641,30.499
S_22_00162,101881,1310441,12.862,15.141
