sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns
S_22_00001,82346,1676273,20.356,25.635
S_22_00002,74759,1182598,15.819,19.564
S_22_00003,81377,1319165,16.211,20.484
S_22_00004,90607,2095068,23.123,30.212
S_22_00005,73288,1145859,15.635,18.804
S_22_00006,86887,2022603,23.279,30.004
S_22_00007,68825,1053196,15.303,17.854
S_22_00008,84952,1721627,20.266,25.651
S_22_00009,62585,540848,8.642,9.960
S_22_00010,89645,1216043,13.565,17.895
S_22_00011,73245,1274608,17.402,20.971
S_22_00012,72924,1177254,16.144,19.292
S_22_00014,95450,3154813,33.052,45.769
S_22_00015,91529,1591926,17.393,22.742
S_22_00016,86649,2236375,25.810,33.956
S_22_00017,80674,1587048,19.672,24.461
S_22_00017_rep,69591,884937,12.716,14.758
S_22_00018,74904,836077,11.162,13.328
S_22_00019,82460,1625905,19.717,25.172
S_22_00020,91701,1920838,20.947,27.761
S_22_00021,70106,743314,10.603,12.678
S_22_00024,87132,1827361,20.972,27.465
S_22_00025,72824,1095762,15.047,18.141
S_22_00026,77719,1187137,15.275,18.978
S_22_00027,79131,1135635,14.351,17.481
S_22_00028,98600,3628942,36.805,51.378
S_22_00028_rep,89977,2189631,24.335,32.695
S_22_00029,72702,898111,12.353,14.500
S_22_00030,82569,1895511,22.957,29.932
S_22_00031,82905,1745535,21.055,26.559
S_22_00032,81188,1666285,20.524,25.817
S_22_00033,85601,1886509,22.038,28.016
S_22_00034,75139,1532648,20.398,25.296
S_22_00035,80452,1589140,19.753,24.896
S_22_00036,74916,1205261,16.088,19.519
S_22_00037,77911,1988820,25.527,31.729
S_22_00038,86587,2262888,26.134,33.570
S_22_00039,79018,1409955,17.843,21.750
S_22_00040,78335,1697456,21.669,26.459
S_22_00041,100787,4059802,40.281,56.646
S_22_00042,91402,2688036,29.409,38.952
S_22_00043,94772,3809259,40.194,53.847
S_22_00044,73203,1497895,20.462,24.606
S_22_00045,89633,2043215,22.795,29.692
S_22_00046,96711,2212688,22.879,30.398
S_22_00047,73823,1048483,14.203,16.635
S_22_00048,84325,1804279,21.397,27.789
S_22_00049,84924,1779875,20.958,26.380
S_22_00050,91830,2422492,26.380,35.737
S_22_00051,81430,1334735,16.391,20.396
S_22_00052,77426,1495522,19.316,23.842
S_22_00053,81426,2061948,25.323,32.699
S_22_00054,90886,2149025,23.645,29.027
S_22_00055,88937,2292973,25.782,34.267
S_22_00056,104407,3128885,29.968,38.047
S_22_00057,99218,2265354,22.832,28.354
S_22_00058,87171,2016322,23.131,27.733
S_22_00059,116470,4669911,40.095,65.334
S_22_00060,79213,1328690,16.774,20.870
S_22_00061,81239,1809946,22.279,28.490
S_22_00062,80883,1378200,17.039,21.277
S_22_00063,88642,1916231,21.618,27.743
S_22_00064,76054,1179774,15.512,18.621
S_22_00065,86523,1895294,21.905,27.537
S_22_00066,74175,968434,13.056,15.758
S_22_00067,76114,1203997,15.818,19.334
S_22_00068,67983,659780,9.705,11.305
S_22_00069,68720,959708,13.965,16.483
S_22_00070,84499,2054011,24.308,30.752
S_22_00071,85645,2053177,23.973,30.507
S_22_00072,82403,1882412,22.844,29.356
S_22_00073,79287,1225616,15.458,18.891
S_22_00074,92853,2894439,31.172,41.124
S_22_00075,86751,2224406,25.641,32.344
S_22_00076,82345,1793054,21.775,27.206
S_22_00077,71608,916099,12.793,15.018
S_22_00078,78005,1491394,19.119,23.110
S_22_00079,97198,2409000,24.784,33.754
S_22_00080,82762,1920507,23.205,29.356
S_22_00081,79465,2243682,28.235,35.525
S_22_00082,74714,1280142,17.134,20.192
S_22_00083,89057,2813455,31.592,41.007
S_22_00084,83980,2329144,27.735,34.847
S_22_00085,75808,1664005,21.950,26.818
S_22_00086,86696,2382847,27.485,35.987
S_22_00088,79468,1608619,20.242,24.949
S_22_00089,69099,1189334,17.212,20.271
S_22_00090,88956,1903452,21.398,27.214
S_22_00091,93634,2889909,30.864,41.149
S_22_00092,89346,3247062,36.343,47.470
S_22_00093,96426,3190213,33.085,44.261
S_22_00094,84680,2165747,25.576,32.700
S_22_00095,85349,2532537,29.673,37.572
S_22_00099,68242,934595,13.695,15.941
S_22_00100,89502,1661434,18.563,24.147
S_22_00101,73009,848687,11.624,13.762
S_22_00102,87506,2125729,24.292,31.999
S_22_00105,89370,1661916,18.596,24.305
S_22_00107,99392,3027773,30.463,44.095
S_22_00108,72809,794746,10.915,13.220
S_22_00109,113571,2400366,21.135,31.334
