ID_GQ,Taxon,Loc
S_22_00008,Arctogadus glacialis,Seq1
S_22_00030,Arctogadus glacialis,Seq1
S_22_00032,Arctogadus glacialis,Seq1
S_22_00047,Arctogadus glacialis,Seq1
S_22_00054,Arctogadus glacialis,Seq1
S_22_00055,Arctogadus glacialis,Seq1
S_22_00056,Arctogadus glacialis,Seq1
S_22_00057,Arctogadus glacialis,Seq1
S_22_00058,Arctogadus glacialis,Seq1
S_22_00059,Arctogadus glacialis,Seq1
S_22_00065,Arctogadus glacialis,Seq1
S_22_00067,Arctogadus glacialis,Seq1
S_22_00072,Arctogadus glacialis,Seq1
S_22_00083,Arctogadus glacialis,Seq1
S_22_00102,Arctogadus glacialis,Seq1
S_22_00131,Arctogadus glacialis,Seq1
S_22_00133,Arctogadus glacialis,Seq1
S_22_00153,Arctogadus glacialis,Seq1
S_22_00154,Arctogadus glacialis,Seq1
S_22_00155,Arctogadus glacialis,Seq1
S_22_00156,Arctogadus glacialis,Seq1
S_22_00157,Arctogadus glacialis,Seq1
S_22_00172,Arctogadus glacialis,Seq1
S_22_00174,Arctogadus glacialis,Seq1
S_22_00183,Arctogadus glacialis,Seq1
S_22_00189,Arctogadus glacialis,Seq1
S_22_00211,Arctogadus glacialis,Seq1
S_22_00213,Arctogadus glacialis,Seq1
S_22_00230,Arctogadus glacialis,Seq1
S_22_00234,Arctogadus glacialis,Seq1
S_22_00239,Arctogadus glacialis,Seq1
S_22_00253,Arctogadus glacialis,Seq1
S_22_00298,Arctogadus glacialis,Seq1
S_22_00302,Arctogadus glacialis,Seq1
S_22_00307,Arctogadus glacialis,Seq1
S_22_08009,Arctogadus glacialis,Seq1
S_22_08015,Arctogadus glacialis,Seq1
S_22_08021,Arctogadus glacialis,Seq1
S_22_08030,Arctogadus glacialis,Seq1
S_22_08041,Arctogadus glacialis,Seq1
S_22_08085,Arctogadus glacialis,Seq1
S_22_08098,Arctogadus glacialis,Seq1
S_22_08288,Arctogadus glacialis,Seq1
S_22_08306,Arctogadus glacialis,Seq1
S_22_08379,Arctogadus glacialis,Seq1
S_22_09217,Arctogadus glacialis,Seq1
S_22_09237,Arctogadus glacialis,Seq1
S_22_09243,Arctogadus glacialis,Seq1
S_22_09253,Arctogadus glacialis,Seq1
S_22_09294,Arctogadus glacialis,Seq1
S_22_09344,Arctogadus glacialis,Seq1
S_22_09393,Arctogadus glacialis,Seq1
S_22_09423,Arctogadus glacialis,Seq1
S_22_09454,Arctogadus glacialis,Seq1
