beta  ances 
0.215 0.207
0.209 0.225
0.209 0.225
0.207 0.224
0.208 0.225
0.206 0.226
0.206 0.227
0.206 0.228
0.206 0.226
0.205 0.227
0.205 0.228
0.206 0.228
0.206 0.230
0.206 0.230
0.206 0.229
0.205 0.230
0.205 0.229
0.205 0.229
0.206 0.230
0.206 0.230
0.206 0.229
0.205 0.228
0.205 0.228
0.205 0.228
0.205 0.228
0.205 0.228
0.205 0.228
0.205 0.229
0.206 0.229
0.206 0.229
0.206 0.229
0.206 0.229
0.206 0.228
0.206 0.229
0.206 0.229
0.206 0.229
0.206 0.229
0.206 0.229
0.206 0.228
0.206 0.229
0.206 0.229
0.206 0.229
0.206 0.229
0.206 0.228
0.206 0.229
0.207 0.228
0.207 0.229
0.207 0.229
0.207 0.229
