beta  ances 
0.212 0.215
0.210 0.231
0.211 0.229
0.213 0.225
0.209 0.224
0.209 0.225
0.210 0.226
0.210 0.227
0.209 0.227
0.208 0.228
0.207 0.228
0.206 0.227
0.206 0.227
0.205 0.226
0.204 0.227
0.204 0.227
0.204 0.226
0.204 0.227
0.204 0.226
0.204 0.227
0.204 0.227
0.204 0.228
0.204 0.228
0.204 0.228
0.205 0.229
0.204 0.229
0.204 0.229
0.204 0.229
0.204 0.229
0.204 0.229
0.205 0.228
0.205 0.228
0.205 0.228
0.205 0.228
0.205 0.229
0.205 0.229
0.204 0.229
0.204 0.230
0.204 0.230
0.204 0.230
0.204 0.229
0.204 0.230
0.204 0.229
0.204 0.229
0.204 0.229
0.204 0.229
0.204 0.229
0.204 0.229
0.204 0.229
