beta  ances 
0.254 0.212
0.239 0.222
0.239 0.224
0.235 0.224
0.233 0.223
0.231 0.222
0.232 0.223
0.233 0.223
0.232 0.222
0.232 0.220
0.232 0.222
0.232 0.222
0.232 0.222
0.232 0.221
0.233 0.220
0.233 0.220
0.233 0.221
0.233 0.221
0.233 0.221
0.233 0.222
0.233 0.221
0.233 0.220
0.232 0.221
0.233 0.221
0.233 0.222
0.233 0.222
0.233 0.222
0.233 0.222
0.233 0.222
0.233 0.222
0.233 0.222
0.233 0.223
0.233 0.223
0.233 0.223
0.233 0.223
0.233 0.224
0.233 0.223
0.233 0.222
0.233 0.223
0.233 0.223
0.234 0.223
0.234 0.223
0.234 0.223
0.234 0.223
0.234 0.223
0.234 0.223
0.234 0.223
0.234 0.223
0.233 0.223
