Sample	Group	Reads	Markers	Retained	Min_depth	Max_depth	Median_depth	Average_depth
S_22_08081	M	980812	295792	64652	0	6064	6	8
S_22_09205	F	3197334	556408	64652	0	16102	28	32
S_22_08301	M	2734956	608667	64652	0	17011	20	23
S_22_09246	F	4265620	774307	64652	0	13597	35	40
S_22_08306	M	5283430	979657	64652	0	34992	43	48
S_22_09419	F	4486531	824237	64652	0	12786	38	42
S_22_09343	F	3607634	655975	64652	0	10828	30	34
S_22_09275	F	3933998	757065	64652	0	15497	33	37
S_22_08008	M	627949	206351	64652	0	2254	4	5
S_22_08088	M	2777813	634153	64652	0	11769	21	24
S_22_07687	F	2006481	620839	64652	0	11101	12	15
S_22_08062	M	535075	187932	64652	0	3241	4	5
S_22_09240	F	4949039	885326	64652	0	22908	41	47
S_22_08069	F	971141	274720	64652	0	5545	7	9
S_22_09279	F	5065645	910015	64652	0	18610	40	45
S_22_09287	F	2704751	535035	64652	0	10573	22	25
S_22_07711	F	1662403	462957	64652	0	9187	10	14
S_22_09323	M	4805484	870063	64652	0	14070	38	43
S_22_08283	M	1019269	303415	64652	0	2311	7	8
S_22_08046	M	628197	214025	64652	0	5029	4	5
S_22_08139	M	4997157	985907	64652	0	27283	39	45
S_22_07714	F	1463606	448576	64652	0	5393	8	11
S_22_07665	F	2513342	593002	64652	0	7307	18	21
S_22_09430	F	3140582	655442	64652	0	9568	26	29
S_22_09202	F	5300758	1024270	64652	0	17051	44	48
S_22_09353	M	3395195	647935	64652	0	15048	29	32
S_22_08155	M	1768583	424968	64652	0	8311	11	16
S_22_07697	F	1366268	444813	64652	0	6104	8	10
S_22_08077	M	639127	203459	64652	0	3227	4	6
S_22_09245	F	4788381	840933	64652	0	18577	39	45
S_22_09243	M	4291673	857080	64652	0	24219	35	40
S_22_08147	F	1316453	350879	64652	0	7425	9	12
S_22_09320	M	6934961	1162410	64652	0	27469	56	63
S_22_09303	M	3987985	728383	64652	0	17803	33	37
S_22_08048	M	1546018	412711	64652	0	7058	10	13
S_22_09367	F	3732056	702601	64652	0	9437	30	35
S_22_08009	M	2242944	520464	64652	0	11240	16	19
S_22_08110	M	1926595	462893	64652	0	7102	14	17
S_22_08108	F	3019564	629516	64652	0	13537	24	27
S_22_08038	F	532521	182762	64652	0	3367	3	4
S_22_09222	F	2782983	617193	64652	0	16804	22	25
S_22_09444	F	3362541	657781	64652	0	19385	28	31
S_22_08074	M	503172	185988	64652	0	3404	3	4
S_22_08015	F	3872149	778606	64652	0	27143	30	34
S_22_09453	M	4741443	867713	64652	0	21178	39	44
S_22_08291	M	1941286	480521	64652	0	6325	15	17
S_22_09225	F	5749100	1052587	64652	0	24646	47	53
S_22_07680	F	3154161	778313	64652	0	11404	22	26
S_22_09203	F	6198253	1021273	64652	0	34571	55	61
S_22_09212	F	3837762	784642	64652	0	18242	31	35
S_22_07694	F	3258295	769521	64652	0	23192	23	28
S_22_08323	F	2606070	561626	64652	0	15565	19	23
S_22_09409	F	4586343	881087	64652	0	14818	36	40
S_22_08016	M	3651439	714055	64652	0	20010	30	34
S_22_08280	M	5705834	1041954	64652	0	20593	49	53
S_22_08137	M	1431593	380070	64652	0	4393	9	12
S_22_08286	F	1273276	350667	64652	0	3661	8	11
S_22_08281	F	2446424	528719	64652	0	12179	19	22
S_22_08059	M	4524764	945704	64652	0	24035	33	40
S_22_09368	F	3793495	729650	64652	0	21114	31	36
S_22_08308	F	2848420	566792	64652	0	8165	24	26
S_22_09236	M	4390828	908764	64652	0	22108	34	39
S_22_07690	F	2042619	507688	64652	0	16031	15	18
S_22_08070	M	1820604	459976	64652	0	11371	13	16
S_22_08006	F	1137778	305593	64652	0	7406	8	10
S_22_08060	M	4461988	864204	64652	0	26447	36	41
S_22_09280	M	3007184	590294	64652	0	10489	24	28
S_22_07708	F	1360326	383660	64652	0	9117	9	11
S_22_09391	M	3624561	673595	64652	0	14274	29	33
S_22_09252	M	3536159	679257	64652	0	15214	29	33
S_22_08288	M	2464286	551513	64652	0	15663	18	21
S_22_08302	F	2419923	555972	64652	0	5645	19	22
