#source:radsex-distrib;min_depth:5;signif_threshold:2.79306e-08;bonferroni:true;n_markers:1790149
M	F	Markers	P	CorrectedP	Signif	Bias
0	1	703887	1	1	False	-0.00694444
0	2	33788	0.593737	1	False	-0.0138889
0	3	8991	0.34399	1	False	-0.0208333
0	4	3236	0.206363	1	False	-0.0277778
0	5	1284	0.126257	1	False	-0.0347222
0	6	530	0.0781825	1	False	-0.0416667
0	7	229	0.0487866	1	False	-0.0486111
0	8	108	0.0305941	1	False	-0.0555556
0	9	48	0.019245	1	False	-0.0625
0	10	24	0.0121277	1	False	-0.0694444
0	11	10	0.00764892	1	False	-0.0763889
0	12	4	0.00482461	1	False	-0.0833333
0	13	1	0.00304169	1	False	-0.0902778
0	14	0	0.00191583	1	False	-0.0972222
0	15	0	0.00120511	1	False	-0.104167
0	16	1	0.000756794	1	False	-0.111111
0	17	0	0.000474349	1	False	-0.118056
0	18	0	0.000296677	1	False	-0.125
0	19	0	0.000185116	1	False	-0.131944
0	20	0	0.000115213	1	False	-0.138889
0	21	0	7.15126e-05	1	False	-0.145833
0	22	0	4.42611e-05	1	False	-0.152778
0	23	0	2.73124e-05	1	False	-0.159722
0	24	0	1.68013e-05	1	False	-0.166667
0	25	0	1.03018e-05	1	False	-0.173611
0	26	0	6.29547e-06	1	False	-0.180556
0	27	0	3.83387e-06	1	False	-0.1875
0	28	0	2.32647e-06	1	False	-0.194444
0	29	0	1.40658e-06	1	False	-0.201389
0	30	0	8.47223e-07	1	False	-0.208333
0	31	0	5.08343e-07	0.91001	False	-0.215278
0	32	0	3.03811e-07	0.543866	False	-0.222222
0	33	0	1.80841e-07	0.323732	False	-0.229167
0	34	0	1.07202e-07	0.191907	False	-0.236111
0	35	0	6.32817e-08	0.113284	False	-0.243056
0	36	0	3.71955e-08	0.0665855	False	-0.25
0	37	0	2.17672e-08	0.0389665	True	-0.256944
0	38	0	1.26816e-08	0.022702	True	-0.263889
0	39	0	7.35486e-09	0.0131663	True	-0.270833
0	40	0	4.24583e-09	0.00760067	True	-0.277778
0	41	0	2.43952e-09	0.0043671	True	-0.284722
0	42	0	1.39496e-09	0.00249718	True	-0.291667
0	43	0	7.93774e-10	0.00142097	True	-0.298611
0	44	0	4.49444e-10	0.000804571	True	-0.305556
0	45	0	2.53197e-10	0.00045326	True	-0.3125
0	46	0	1.41909e-10	0.000254038	True	-0.319444
0	47	0	7.91205e-11	0.000141637	True	-0.326389
0	48	0	4.38793e-11	7.85506e-05	True	-0.333333
0	49	0	2.42039e-11	4.33285e-05	True	-0.340278
0	50	0	1.32776e-11	2.37689e-05	True	-0.347222
0	51	0	7.24321e-12	1.29664e-05	True	-0.354167
0	52	0	3.92897e-12	7.03344e-06	True	-0.361111
0	53	0	2.11886e-12	3.79308e-06	True	-0.368056
0	54	0	1.13609e-12	2.03377e-06	True	-0.375
0	55	0	6.05516e-13	1.08396e-06	True	-0.381944
0	56	0	3.20743e-13	5.74179e-07	True	-0.388889
0	57	0	1.68865e-13	3.02293e-07	True	-0.395833
0	58	0	8.83738e-14	1.58202e-07	True	-0.402778
0	59	0	4.59632e-14	8.2281e-08	True	-0.409722
0	60	0	2.37588e-14	4.25317e-08	True	-0.416667
0	61	0	1.22125e-14	2.18621e-08	True	-0.423611
0	62	0	6.21725e-15	1.11298e-08	True	-0.430556
0	63	0	3.10862e-15	5.5649e-09	True	-0.4375
0	64	0	1.55431e-15	2.78245e-09	True	-0.444444
0	65	0	7.77156e-16	1.39123e-09	True	-0.451389
0	66	0	4.44089e-16	7.94986e-10	True	-0.458333
0	67	0	2.22045e-16	3.97493e-10	True	-0.465278
0	68	0	1.11022e-16	1.98746e-10	True	-0.472222
0	69	0	1e-16	1.79015e-10	True	-0.479167
0	70	0	1e-16	1.79015e-10	True	-0.486111
0	71	0	1e-16	1.79015e-10	True	-0.493056
0	72	0	1e-16	1.79015e-10	True	-0.5
0	73	0	1e-16	1.79015e-10	True	-0.506944
0	74	0	1e-16	1.79015e-10	True	-0.513889
0	75	0	1e-16	1.79015e-10	True	-0.520833
0	76	0	1e-16	1.79015e-10	True	-0.527778
0	77	0	1e-16	1.79015e-10	True	-0.534722
0	78	0	1e-16	1.79015e-10	True	-0.541667
0	79	0	1e-16	1.79015e-10	True	-0.548611
0	80	0	1e-16	1.79015e-10	True	-0.555556
0	81	0	1e-16	1.79015e-10	True	-0.5625
0	82	0	1e-16	1.79015e-10	True	-0.569444
0	83	0	1e-16	1.79015e-10	True	-0.576389
0	84	0	1e-16	1.79015e-10	True	-0.583333
0	85	0	1e-16	1.79015e-10	True	-0.590278
0	86	0	1e-16	1.79015e-10	True	-0.597222
0	87	0	1e-16	1.79015e-10	True	-0.604167
0	88	0	1e-16	1.79015e-10	True	-0.611111
0	89	0	1e-16	1.79015e-10	True	-0.618056
0	90	0	1e-16	1.79015e-10	True	-0.625
0	91	0	1e-16	1.79015e-10	True	-0.631944
0	92	0	1e-16	1.79015e-10	True	-0.638889
0	93	0	1e-16	1.79015e-10	True	-0.645833
0	94	0	1e-16	1.79015e-10	True	-0.652778
0	95	0	1e-16	1.79015e-10	True	-0.659722
0	96	0	1e-16	1.79015e-10	True	-0.666667
0	97	0	1e-16	1.79015e-10	True	-0.673611
0	98	0	1e-16	1.79015e-10	True	-0.680556
0	99	0	1e-16	1.79015e-10	True	-0.6875
0	100	0	1e-16	1.79015e-10	True	-0.694444
0	101	0	1e-16	1.79015e-10	True	-0.701389
0	102	0	1e-16	1.79015e-10	True	-0.708333
0	103	0	1e-16	1.79015e-10	True	-0.715278
0	104	0	1e-16	1.79015e-10	True	-0.722222
0	105	0	1e-16	1.79015e-10	True	-0.729167
0	106	0	1e-16	1.79015e-10	True	-0.736111
0	107	0	1e-16	1.79015e-10	True	-0.743056
0	108	0	1e-16	1.79015e-10	True	-0.75
0	109	0	1e-16	1.79015e-10	True	-0.756944
0	110	0	1e-16	1.79015e-10	True	-0.763889
0	111	0	1e-16	1.79015e-10	True	-0.770833
0	112	0	1e-16	1.79015e-10	True	-0.777778
0	113	0	1e-16	1.79015e-10	True	-0.784722
0	114	0	1e-16	1.79015e-10	True	-0.791667
