#source:radsex-distrib;min_depth:10;signif_threshold:6.74832e-08;bonferroni:true;n_markers:740925
M	F	Markers	P	CorrectedP	Signif	Bias
0	1	176598	1	1	False	-0.00675676
0	2	20907	0.598239	1	False	-0.0135135
0	3	6222	0.347997	1	False	-0.0202703
0	4	2364	0.20962	1	False	-0.027027
0	5	959	0.128783	1	False	-0.0337838
0	6	427	0.0800857	1	False	-0.0405405
0	7	201	0.0501914	1	False	-0.0472973
0	8	88	0.031615	1	False	-0.0540541
0	9	37	0.0199778	1	False	-0.0608108
0	10	16	0.0126483	1	False	-0.0675676
0	11	10	0.00801534	1	False	-0.0743243
0	12	2	0.00508049	1	False	-0.0810811
0	13	2	0.00321909	1	False	-0.0878378
0	14	1	0.002038	1	False	-0.0945946
0	15	0	0.0012887	1	False	-0.101351
0	16	0	0.000813661	1	False	-0.108108
0	17	0	0.000512813	1	False	-0.114865
0	18	0	0.000322552	1	False	-0.121622
0	19	0	0.00020243	1	False	-0.128378
0	20	0	0.000126738	1	False	-0.135135
0	21	0	7.91454e-05	1	False	-0.141892
0	22	0	4.9291e-05	1	False	-0.148649
0	23	0	3.06107e-05	1	False	-0.155405
0	24	0	1.89535e-05	1	False	-0.162162
0	25	0	1.16994e-05	1	False	-0.168919
0	26	0	7.19862e-06	1	False	-0.175676
0	27	0	4.41471e-06	1	False	-0.182432
0	28	0	2.69822e-06	1	False	-0.189189
0	29	0	1.64337e-06	1	False	-0.195946
0	30	0	9.97324e-07	0.738943	False	-0.202703
0	31	0	6.03032e-07	0.446801	False	-0.209459
0	32	0	3.63254e-07	0.269144	False	-0.216216
0	33	0	2.17976e-07	0.161504	False	-0.222973
0	34	0	1.30287e-07	0.0965328	False	-0.22973
0	35	0	7.75622e-08	0.0574677	False	-0.236486
0	36	0	4.59855e-08	0.0340718	True	-0.243243
0	37	0	2.71506e-08	0.0201166	True	-0.25
0	38	0	1.59621e-08	0.0118268	True	-0.256757
0	39	0	9.34374e-09	0.00692301	True	-0.263514
0	40	0	5.44545e-09	0.00403467	True	-0.27027
0	41	0	3.15934e-09	0.00234084	True	-0.277027
0	42	0	1.82463e-09	0.00135191	True	-0.283784
0	43	0	1.04889e-09	0.000777152	True	-0.290541
0	44	0	6.00115e-10	0.00044464	True	-0.297297
0	45	0	3.41702e-10	0.000253176	True	-0.304054
0	46	0	1.93614e-10	0.000143454	True	-0.310811
0	47	0	1.09161e-10	8.08798e-05	True	-0.317568
0	48	0	6.12349e-11	4.53705e-05	True	-0.324324
0	49	0	3.41743e-11	2.53206e-05	True	-0.331081
0	50	0	1.89728e-11	1.40574e-05	True	-0.337838
0	51	0	1.04775e-11	7.76305e-06	True	-0.344595
0	52	0	5.75495e-12	4.26399e-06	True	-0.351351
0	53	0	3.14371e-12	2.32925e-06	True	-0.358108
0	54	0	1.70775e-12	1.26531e-06	True	-0.364865
0	55	0	9.22484e-13	6.83492e-07	True	-0.371622
0	56	0	4.95382e-13	3.67041e-07	True	-0.378378
0	57	0	2.64566e-13	1.96024e-07	True	-0.385135
0	58	0	1.40443e-13	1.04058e-07	True	-0.391892
0	59	0	7.40519e-14	5.48669e-08	True	-0.398649
0	60	0	3.88578e-14	2.87907e-08	True	-0.405405
0	61	0	2.02061e-14	1.49712e-08	True	-0.412162
0	62	0	1.04361e-14	7.73236e-09	True	-0.418919
0	63	0	5.44009e-15	4.0307e-09	True	-0.425676
0	64	0	2.77556e-15	2.05648e-09	True	-0.432432
0	65	0	1.44329e-15	1.06937e-09	True	-0.439189
0	66	0	6.66134e-16	4.93555e-10	True	-0.445946
0	67	0	3.33067e-16	2.46778e-10	True	-0.452703
0	68	0	2.22045e-16	1.64518e-10	True	-0.459459
0	69	0	1.11022e-16	8.22592e-11	True	-0.466216
0	70	0	1e-16	7.40925e-11	True	-0.472973
0	71	0	1e-16	7.40925e-11	True	-0.47973
0	72	0	1e-16	7.40925e-11	True	-0.486486
0	73	0	1e-16	7.40925e-11	True	-0.493243
0	74	0	1e-16	7.40925e-11	True	-0.5
0	75	0	1e-16	7.40925e-11	True	-0.506757
0	76	0	1e-16	7.40925e-11	True	-0.513514
0	77	0	1e-16	7.40925e-11	True	-0.52027
0	78	0	1e-16	7.40925e-11	True	-0.527027
0	79	0	1e-16	7.40925e-11	True	-0.533784
0	80	0	1e-16	7.40925e-11	True	-0.540541
0	81	0	1e-16	7.40925e-11	True	-0.547297
0	82	0	1e-16	7.40925e-11	True	-0.554054
0	83	0	1e-16	7.40925e-11	True	-0.560811
0	84	0	1e-16	7.40925e-11	True	-0.567568
0	85	0	1e-16	7.40925e-11	True	-0.574324
0	86	0	1e-16	7.40925e-11	True	-0.581081
0	87	0	1e-16	7.40925e-11	True	-0.587838
0	88	0	1e-16	7.40925e-11	True	-0.594595
0	89	0	1e-16	7.40925e-11	True	-0.601351
0	90	0	1e-16	7.40925e-11	True	-0.608108
0	91	0	1e-16	7.40925e-11	True	-0.614865
0	92	0	1e-16	7.40925e-11	True	-0.621622
0	93	0	1e-16	7.40925e-11	True	-0.628378
0	94	0	1e-16	7.40925e-11	True	-0.635135
0	95	0	1e-16	7.40925e-11	True	-0.641892
0	96	0	1e-16	7.40925e-11	True	-0.648649
0	97	0	1e-16	7.40925e-11	True	-0.655405
0	98	0	1e-16	7.40925e-11	True	-0.662162
0	99	0	1e-16	7.40925e-11	True	-0.668919
0	100	0	1e-16	7.40925e-11	True	-0.675676
0	101	0	1e-16	7.40925e-11	True	-0.682432
0	102	0	1e-16	7.40925e-11	True	-0.689189
0	103	0	1e-16	7.40925e-11	True	-0.695946
0	104	0	1e-16	7.40925e-11	True	-0.702703
0	105	0	1e-16	7.40925e-11	True	-0.709459
0	106	0	1e-16	7.40925e-11	True	-0.716216
0	107	0	1e-16	7.40925e-11	True	-0.722973
0	108	0	1e-16	7.40925e-11	True	-0.72973
0	109	0	1e-16	7.40925e-11	True	-0.736486
0	110	0	1e-16	7.40925e-11	True	-0.743243
0	111	0	1e-16	7.40925e-11	True	-0.75
0	112	0	1e-16	7.40925e-11	True	-0.756757
0	113	0	1e-16	7.40925e-11	True	-0.763514
0	114	0	1e-16	7.40925e-11	True	-0.77027
0	115	0	1e-16	7.40925e-11	True	-0.777027
0	116	0	1e-16	7.40925e-11	True	-0.783784
0	117	0	1e-16	7.40925e-11	True	-0.790541
0	118	0	1e-16	7.40925e-11	True	-0.797297
0	119	0	1e-16	7.40925e-11	True	-0.804054
0	120	0	1e-16	7.40925e-11	True	-0.810811
0	121	0	1e-16	7.40925e-11	True	-0.817568
0	122	0	1e-16	7.40925e-11	True	-0.824324
0	123	0	1e-16	7.40925e-11	True	-0.831081
0	124	0	1e-16	7.40925e-11	True	-0.837838
0	125	0	1e-16	7.40925e-11	True	-0.844595
0	126	0	1e-16	7.40925e-11	True	-0.851351
0	127	0	1e-16	7.40925e-11	True	-0.858108
0	128	0	1e-16	7.40925e-11	True	-0.864865
0	129	0	1e-16	7.40925e-11	True	-0.871622
0	130	0	1e-16	7.40925e-11	True	-0.878378
0	131	0	1e-16	7.40925e-11	True	-0.885135
0	132	0	1e-16	7.40925e-11	True	-0.891892
0	133	0	1e-16	7.40925e-11	True	-0.898649
0	134	0	1e-16	7.40925e-11	True	-0.905405
0	135	0	1e-16	7.40925e-11	True	-0.912162
0	136	0	1e-16	7.40925e-11	True	-0.918919
0	137	0	1e-16	7.40925e-11	True	-0.925676
0	138	0	1e-16	7.40925e-11	True	-0.932432
0	139	0	1e-16	7.40925e-11	True	-0.939189
0	140	0	1e-16	7.40925e-11	True	-0.945946
0	141	0	1e-16	7.40925e-11	True	-0.952703
0	142	0	1e-16	7.40925e-11	True	-0.959459
0	143	0	1e-16	7.40925e-11	True	-0.966216
0	144	0	1e-16	7.40925e-11	True	-0.972973
0	145	0	1e-16	7.40925e-11	True	-0.97973
0	146	0	1e-16	7.40925e-11	True	-0.986486
0	147	0	1e-16	7.40925e-11	True	-0.993243
0	148	0	1e-16	7.40925e-11	True	-1
1	0	157298	0.88909	1	False	0.00884956
1	1	31806	1	1	False	0.0020928
1	2	14121	1	1	False	-0.00466396
1	3	7096	0.812133	1	False	-0.0114207
1	4	3829	0.543474	1	False	-0.0181775
