ID_GQ,Taxon,Loc
S_22_00001,Boreogadus saida,Seq1
S_22_00008,Arctogadus glacialis,Seq1
S_22_00020,Boreogadus saida,Seq1
S_22_00030,Arctogadus glacialis,Seq1
S_22_00032,Arctogadus glacialis,Seq1
S_22_00047,Arctogadus glacialis,Seq1
S_22_00050,Boreogadus saida,Seq1
S_22_00053,Boreogadus saida,Seq1
S_22_00054,Arctogadus glacialis,Seq1
S_22_00055,Arctogadus glacialis,Seq1
S_22_00056,Arctogadus glacialis,Seq1
S_22_00057,Arctogadus glacialis,Seq1
S_22_00058,Arctogadus glacialis,Seq1
S_22_00059,Arctogadus glacialis,Seq1
S_22_00065,Arctogadus glacialis,Seq1
S_22_00067,Arctogadus glacialis,Seq1
S_22_00072,Arctogadus glacialis,Seq1
S_22_00079,Boreogadus saida,Seq1
S_22_00083,Arctogadus glacialis,Seq1
S_22_00089,Arctogadus glacialis,Seq1
S_22_00102,Arctogadus glacialis,Seq1
S_22_00130,Boreogadus saida,Seq1
S_22_00131,Arctogadus glacialis,Seq1
S_22_00133,Arctogadus glacialis,Seq1
S_22_00153,Arctogadus glacialis,Seq1
S_22_00154,Arctogadus glacialis,Seq1
S_22_00155,Arctogadus glacialis,Seq1
S_22_00156,Arctogadus glacialis,Seq1
S_22_00157,Arctogadus glacialis,Seq1
S_22_00163,Boreogadus saida,Seq1
S_22_00172,Arctogadus glacialis,Seq1
S_22_00174,Arctogadus glacialis,Seq1
S_22_00183,Arctogadus glacialis,Seq1
S_22_00189,Arctogadus glacialis,Seq1
S_22_00211,Arctogadus glacialis,Seq1
S_22_00213,Arctogadus glacialis,Seq1
S_22_00230,Arctogadus glacialis,Seq1
S_22_00234,Arctogadus glacialis,Seq1
S_22_00239,Arctogadus glacialis,Seq1
S_22_00243,Boreogadus saida,Seq1
S_22_00253,Arctogadus glacialis,Seq1
S_22_00298,Arctogadus glacialis,Seq1
S_22_00302,Arctogadus glacialis,Seq1
S_22_00307,Arctogadus glacialis,Seq1
S_22_08009,Arctogadus glacialis,Seq1
S_22_08015,Arctogadus glacialis,Seq1
S_22_08021,Arctogadus glacialis,Seq1
S_22_08030,Arctogadus glacialis,Seq1
S_22_08033,Gadus morhua,Seq1
S_22_08041,Arctogadus glacialis,Seq1
S_22_08044,Boreogadus saida,Seq1
S_22_08051,Boreogadus saida,Seq1
S_22_08055,Boreogadus saida,Seq1
S_22_08075,Boreogadus saida,Seq1
S_22_08085,Arctogadus glacialis,Seq1
S_22_08089,Boreogadus saida,Seq1
S_22_08098,Arctogadus glacialis,Seq1
S_22_08099,Boreogadus saida,Seq1
S_22_08142,Boreogadus saida,Seq1
S_22_08288,Arctogadus glacialis,Seq1
S_22_08306,Arctogadus glacialis,Seq1
S_22_08349,Arctogadus glacialis,Seq1
S_22_08379,Arctogadus glacialis,Seq1
S_22_09200,Boreogadus saida,Seq1
S_22_09203,Arctogadus glacialis,Seq1
S_22_09211,Boreogadus saida,Seq1
S_22_09217,Arctogadus glacialis,Seq1
S_22_09225,Boreogadus saida,Seq1
S_22_09226,Arctogadus glacialis,Seq1
S_22_09227,Boreogadus saida,Seq1
S_22_09228,Boreogadus saida,Seq1
S_22_09230,Boreogadus saida,Seq1
S_22_09231,Boreogadus saida,Seq1
S_22_09233,Boreogadus saida,Seq1
S_22_09234_rep,Boreogadus saida,Seq1
S_22_09237,Arctogadus glacialis,Seq1
S_22_09243,Arctogadus glacialis,Seq1
S_22_09245,Boreogadus saida,Seq1
S_22_09249,Arctogadus glacialis,Seq1
S_22_09250,Boreogadus saida,Seq1
S_22_09253,Arctogadus glacialis,Seq1
S_22_09254,Boreogadus saida,Seq1
S_22_09273,Boreogadus saida,Seq1
S_22_09275,Boreogadus saida,Seq1
S_22_09280,Boreogadus saida,Seq1
S_22_09281,Boreogadus saida,Seq1
S_22_09283,Boreogadus saida,Seq1
S_22_09294,Arctogadus glacialis,Seq1
S_22_09295,Boreogadus saida,Seq1
S_22_09319,Boreogadus saida,Seq1
S_22_09321,Boreogadus saida,Seq1
S_22_09322,Boreogadus saida,Seq1
S_22_09324,Boreogadus saida,Seq1
S_22_09325,Boreogadus saida,Seq1
S_22_09335,Boreogadus saida,Seq1
S_22_09337,Boreogadus saida,Seq1
S_22_09342,Boreogadus saida,Seq1
S_22_09343,Boreogadus saida,Seq1
S_22_09344,Arctogadus glacialis,Seq1
S_22_09345,Boreogadus saida,Seq1
S_22_09353,Boreogadus saida,Seq1
S_22_09364,Boreogadus saida,Seq1
S_22_09377,Boreogadus saida,Seq1
S_22_09386,Boreogadus saida,Seq1
S_22_09387,Boreogadus saida,Seq1
S_22_09388,Boreogadus saida,Seq1
S_22_09393,Arctogadus glacialis,Seq1
S_22_09403,Boreogadus saida,Seq1
S_22_09423,Arctogadus glacialis,Seq1
S_22_09453,Boreogadus saida,Seq1
