mtSP,Seq1Seq2,N
A. glacialis mtDNA,A. glacialis / Gadidae*,22
A. glacialis mtDNA,A. glacialis / Gadiformes,4
A. glacialis mtDNA,A. glacialis / NA,7
B. saida mtDNA,B. saida / B. saida,41
B. saida mtDNA,NA / B. saida*,283
Undefined mtDNA,A. glacialis / B. saida,26
Undefined mtDNA,B. saida / Gadidae,5
Undefined mtDNA,B. saida / Gadiformes,3
Undefined mtDNA,B. saida / NA,2
Undefined mtDNA,Gadus morhua / Gadiformes,1
Undefined mtDNA,NA / Gadidae,51
Undefined mtDNA,NA / Gadiformes,10
Undefined mtDNA,NA / NA,121
