prob,log10.PO.,qval,alpha,fst,LOC.num,ID,CHROM,POS,Outliers.qvalue
0.0728146,-1.10495,0.866006,-0.012869,0.0042692,1,97:24:+,LR633943.1,151900,FALSE
0.078816,-1.0677,0.85703,-0.012944,0.0042851,2,370:24:+,LR633943.1,670862,FALSE
0.088418,-1.0133,0.8058,-0.044737,0.0041595,3,400:147:+,LR633943.1,720604,FALSE
0.084217,-1.0364,0.83639,-0.0019616,0.0043328,4,489:20:+,LR633943.1,798633,FALSE
0.088218,-1.0143,0.80767,-0.03076,0.0042144,5,945:174:+,LR633943.1,1407864,FALSE
0.095219,-0.97782,0.70291,-0.051995,0.0041507,6,946:167:-,LR633943.1,1407526,FALSE
0.10042,-0.95222,0.58687,-0.058045,0.004122,7,1161:38:+,LR633943.1,1517358,FALSE
0.081816,-1.0501,0.84735,-0.036314,0.0041954,8,1375:39:+,LR633943.1,1660799,FALSE
0.088018,-1.0154,0.80958,-0.021964,0.0042575,9,1376:63:-,LR633943.1,1660700,FALSE
0.092619,-0.99109,0.75268,-0.056318,0.0041277,10,1377:15:+,LR633943.1,1660964,FALSE
0.090418,-1.0026,0.785,-0.051962,0.0041437,11,1391:30:+,LR633943.1,1665246,FALSE
0.080616,-1.0571,0.85176,0.0052001,0.0044087,12,1407:181:-,LR633943.1,1670719,FALSE
0.087618,-1.0176,0.81285,-0.043689,0.004165,13,1433:56:+,LR633943.1,1683522,FALSE
0.095819,-0.9748,0.68927,-0.058264,0.004132,14,1528:77:-,LR633943.1,1760323,FALSE
0.084017,-1.0375,0.83733,-0.024471,0.0042389,15,1553:193:-,LR633943.1,1767087,FALSE
0.078616,-1.0689,0.85751,-0.018684,0.0042551,16,1566:98:-,LR633943.1,1772217,FALSE
0.081616,-1.0512,0.84805,0.013133,0.0044225,17,1600:49:-,LR633943.1,1790237,FALSE
0.09882,-0.95997,0.62111,-0.063419,0.0041258,18,1622:15:+,LR633943.1,1809945,FALSE
0.090418,-1.0026,0.785,-0.038352,0.0041989,19,1623:29:-,LR633943.1,1809904,FALSE
0.10262,-0.94174,0.54952,-0.056709,0.0041459,20,1734:52:+,LR633943.1,2009016,FALSE
0.083017,-1.0432,0.8424,-0.023049,0.0042471,21,1738:178:-,LR633943.1,2009989,FALSE
0.40408,-0.16872,0.13759,0.4877,0.008913,22,1813:22:+,LR633943.1,2055151,FALSE
0.089018,-1.01,0.79993,-0.043212,0.0041747,23,1834:46:+,LR633943.1,2069108,FALSE
0.086817,-1.022,0.81927,-0.035434,0.0041935,24,1903:79:+,LR633943.1,2099439,FALSE
0.097419,-0.96684,0.65359,-0.052665,0.0041502,25,2127:109:-,LR633943.1,2207809,FALSE
0.086017,-1.0264,0.82531,-0.036911,0.004185,26,2475:147:-,LR633943.1,2508517,FALSE
0.095619,-0.97581,0.693,-0.041992,0.0041709,27,2498:13:+,LR633943.1,2529346,FALSE
0.093819,-0.98493,0.73159,-0.055533,0.0041341,28,2500:7:+,LR633943.1,2529346,FALSE
0.089618,-1.0068,0.79367,-0.033334,0.004227,29,2547:10:+,LR633943.1,2562050,FALSE
0.088818,-1.0111,0.80195,-0.04357,0.0041681,30,2768:18:+,LR633943.1,2907628,FALSE
0.076215,-1.0835,0.86225,-0.017975,0.0042559,31,2858:31:+,LR633943.1,2947843,FALSE
0.073815,-1.0986,0.86519,-0.0095573,0.0042804,32,2913:167:-,LR633943.1,2964205,FALSE
0.085217,-1.0308,0.83053,-0.026719,0.0042234,33,2996:31:-,LR633943.1,3009316,FALSE
0.071014,-1.1167,0.86692,-0.01035,0.0042734,34,3069:54:-,LR633943.1,3061015,FALSE
0.074015,-1.0973,0.86498,-0.0080709,0.0042893,35,3309:200:-,LR633943.1,3291134,FALSE
0.090818,-1.0005,0.77939,-0.01582,0.0043055,36,3352:124:-,LR633943.1,3330566,FALSE
0.081816,-1.0501,0.84735,-0.024161,0.0042315,37,3443:39:+,LR633943.1,3404497,FALSE
0.076815,-1.0798,0.86131,-0.013566,0.004287,38,3467:61:+,LR633943.1,3428129,FALSE
0.081616,-1.0512,0.84805,0.0098336,0.0044163,39,3502:67:-,LR633943.1,3449501,FALSE
0.097219,-0.96783,0.65767,-0.052351,0.0041509,40,3558:7:+,LR633943.1,3482043,FALSE
0.083817,-1.0387,0.83837,-0.039747,0.0041872,41,3598:54:+,LR633943.1,3496588,FALSE
0.093819,-0.98493,0.73159,-0.055133,0.0041315,42,3660:94:-,LR633943.1,3532993,FALSE
0.091018,-0.99943,0.77682,-0.037906,0.0041944,43,3813:17:+,LR633943.1,3594791,FALSE
0.080016,-1.0606,0.85365,-0.013516,0.0042814,44,3947:280:-,LR633943.1,3673655,FALSE
0.079416,-1.0642,0.8556,-0.0099678,0.00431,45,3978:26:+,LR633943.1,3699258,FALSE
0.09842,-0.96192,0.631,-0.054792,0.004137,46,4167:68:-,LR633943.1,3781349,FALSE
0.073615,-1.0998000000000001,0.86537,0.011798,0.0043835,47,4202:6:+,LR633943.1,3803123,FALSE
0.092819,-0.99006,0.74973,-0.048495,0.0041595,48,4243:8:+,LR633943.1,3815881,FALSE
0.084217,-1.0364,0.83639,-0.036139,0.0041953,49,4270:46:+,LR633943.1,3829170,FALSE
0.090018,-1.0047,0.78948,-0.04009,0.0042052,50,4341:67:+,LR633943.1,3852584,FALSE
0.083417,-1.0409,0.84034,-0.036055,0.0041973,51,4392:76:+,LR633943.1,3900525,FALSE
0.082216,-1.0478,0.84569,-0.0078303,0.0043245,52,4424:67:-,LR633943.1,3914959,FALSE
0.090618,-1.0015,0.78215,-0.03231,0.0042025,53,4572:6:-,LR633943.1,4007613,FALSE
0.084017,-1.0375,0.83733,-0.023535,0.0042499,54,4629:225:-,LR633943.1,4041973,FALSE
0.091418,-0.99733,0.77122,-0.041335,0.0041868,55,4805:211:-,LR633943.1,4155624,FALSE
0.083017,-1.0432,0.8424,-0.018014,0.0042653,56,4836:99:-,LR633943.1,4176533,FALSE
0.085417,-1.0297,0.82928,-0.037045,0.0042043,57,4889:131:+,LR633943.1,4189778,FALSE
0.086217,-1.0252,0.82388,-0.021715,0.0042472,58,4916:128:-,LR633943.1,4199040,FALSE
0.084417,-1.0353,0.83532,0.031144,0.0045419,59,4996:88:+,LR633943.1,4257638,FALSE
0.093619,-0.98595,0.73523,-0.037497,0.0041859,60,5063:211:-,LR633943.1,4289334,FALSE
0.084417,-1.0353,0.83532,-0.029049,0.0042104,61,5068:192:+,LR633943.1,4292758,FALSE
0.088818,-1.0111,0.80195,-0.048612,0.0041576,62,5080:88:-,LR633943.1,4302279,FALSE
0.085817,-1.0275,0.82665,-0.0092533,0.0043056,63,5392:139:-,LR633943.1,4454458,FALSE
0.077616,-1.075,0.85973,-0.020132,0.0042724,64,5485:270:-,LR633943.1,4525008,FALSE
0.077215,-1.0774,0.86052,0.0020431,0.0043602,65,5534:59:+,LR633943.1,4548646,FALSE
0.093619,-0.98595,0.73523,-0.049151,0.0041532,66,5660:23:+,LR633943.1,4611623,FALSE
0.085017,-1.0319,0.83193,-0.020694,0.0042771,67,5752:48:+,LR633943.1,4694159,FALSE
0.077816,-1.0738,0.85938,0.012073,0.0044285,68,5817:6:+,LR633943.1,4741430,FALSE
0.095819,-0.9748,0.68927,-0.050624,0.0041597,69,5838:102:+,LR633943.1,4757179,FALSE
0.091018,-0.99943,0.77682,-0.042857,0.0041686,70,5861:125:-,LR633943.1,4785010,FALSE
0.079816,-1.0618,0.85424,-0.035768,0.00419,71,5877:164:-,LR633943.1,4802866,FALSE
0.072815,-1.1049,0.86601,0.002626,0.0043273,72,5893:76:+,LR633943.1,4811822,FALSE
0.075615,-1.0872,0.86321,-0.016922,0.0042531,73,5912:248:-,LR633943.1,4824942,FALSE
0.088018,-1.0154,0.80958,-0.042019,0.0041712,74,5915:145:-,LR633943.1,4830095,FALSE
0.091818,-0.99524,0.76558,-0.043775,0.0041841,75,5917:82:-,LR633943.1,4830304,FALSE
0.092218,-0.99316,0.75959,-0.04419,0.0041824,76,5965:118:-,LR633943.1,4849540,FALSE
0.10142,-0.94743,0.56879,-0.059067,0.004141,77,6051:141:+,LR633943.1,4884658,FALSE
0.097219,-0.96783,0.65767,-0.05092,0.0041632,78,6100:18:+,LR633943.1,4898094,FALSE
0.093619,-0.98595,0.73523,-0.053917,0.0041389,79,6137:26:+,LR633943.1,4910556,FALSE
0.080016,-1.0606,0.85365,-0.024479,0.0042494,80,6138:61:-,LR633943.1,4910472,FALSE
0.080416,-1.0582,0.85234,0.0055656,0.0044114,81,6176:88:-,LR633943.1,4933022,FALSE
0.084617,-1.0341,0.8343,-0.029564,0.0042255,82,6245:35:+,LR633943.1,4986139,FALSE
0.084417,-1.0353,0.83532,-0.031022,0.0042086,83,6284:20:+,LR633943.1,5004843,FALSE
0.091018,-0.99943,0.77682,-0.043556,0.0041855,84,6508:41:-,LR633943.1,5172911,FALSE
0.11202,-0.8991,0.47801,0.080384,0.0049883,85,6578:42:+,LR633943.1,5236480,FALSE
0.089818,-1.0058,0.79166,-0.034971,0.0042039,86,6621:115:+,LR633943.1,5269697,FALSE
0.082617,-1.0455,0.84398,0.030291,0.0045467,87,6669:57:+,LR633943.1,5287908,FALSE
0.080216,-1.0594,0.85305,-0.032314,0.0042037,88,6783:18:+,LR633943.1,5344699,FALSE
0.079416,-1.0642,0.8556,0.01716,0.0044636,89,6784:65:-,LR633943.1,5344619,FALSE
0.087818,-1.0165,0.81102,-0.039592,0.0042043,90,6815:111:-,LR633943.1,5354801,FALSE
0.085817,-1.0275,0.82665,-0.010854,0.0043292,91,6844:111:-,LR633943.1,5367429,FALSE
0.085017,-1.0319,0.83193,-0.036115,0.0041918,92,7031:117:-,LR633943.1,5580499,FALSE
0.080616,-1.0571,0.85176,-0.021475,0.0042528,93,7249:154:-,LR633943.1,5687535,FALSE
0.091018,-0.99943,0.77682,-0.03651,0.0042281,94,7325:75:-,LR633943.1,5721932,FALSE
0.081416,-1.0524,0.84889,-0.022203,0.0042385,95,7735:122:-,LR633943.1,5952699,FALSE
0.09842,-0.96192,0.631,-0.053522,0.004152,96,7846:123:+,LR633943.1,6004967,FALSE
0.096219,-0.9728,0.68103,-0.037604,0.0041978,97,7927:28:+,LR633943.1,6050784,FALSE
0.078616,-1.0689,0.85751,-0.020141,0.004258,98,8090:5:+,LR633943.1,6148152,FALSE
0.095219,-0.97782,0.70291,-0.034681,0.0042133,99,8164:17:+,LR633943.1,6199733,FALSE
0.078016,-1.0725,0.85889,-0.010015,0.0043005,100,8392:37:+,LR633943.1,6330356,FALSE
0.097019,-0.96882,0.66322,-0.038677,0.0041929,101,8419:10:+,LR633943.1,6347310,FALSE
0.092418,-0.99213,0.75597,-0.05479,0.0041302,102,8595:13:+,LR633943.1,6518221,FALSE
0.084217,-1.0364,0.83639,-0.032797,0.004198,103,8858:47:-,LR633943.1,6833478,FALSE
0.9862,1.854,0.0022863,1.4935,0.021426,104,9226:124:-,LR633943.1,7226055,TRUE
0.087017,-1.0209,0.81776,-0.0063983,0.004366,105,9247:34:+,LR633943.1,7297219,FALSE
0.089618,-1.0068,0.79367,-0.047719,0.0041669,106,9282:51:+,LR633943.1,7371355,FALSE
0.085817,-1.0275,0.82665,-0.015838,0.0043008,107,9500:32:+,LR633943.1,7688278,FALSE
0.096419,-0.9718,0.67708,-0.04703,0.0041877,108,9667:163:-,LR633943.1,7800504,FALSE
0.091218,-0.99838,0.77404,-0.051575,0.0041553,109,9716:27:+,LR633943.1,7862646,FALSE
0.087417,-1.0187,0.81457,-0.047915,0.0041516,110,9818:65:+,LR633943.1,7915232,FALSE
0.092418,-0.99213,0.75597,-0.052576,0.0041503,111,9844:217:-,LR633943.1,7923395,FALSE
0.088018,-1.0154,0.80958,-0.04527,0.00416,112,9850:45:-,LR633943.1,7928406,FALSE
0.084017,-1.0375,0.83733,-0.023871,0.0042652,113,9862:113:-,LR633943.1,7935771,FALSE
0.081016,-1.0547,0.85023,-0.0069296,0.0043091,114,10001:5:-,LR633943.1,8023914,FALSE
0.082617,-1.0455,0.84398,0.014118,0.0044866,115,10046:234:-,LR633943.1,8034342,FALSE
0.096419,-0.9718,0.67708,-0.055742,0.0041421,116,10279:25:-,LR633943.1,8113601,FALSE
0.095419,-0.97681,0.69845,-0.050663,0.00415,117,10286:91:-,LR633943.1,8116401,FALSE
0.090418,-1.0026,0.785,-0.04743,0.0041572,118,10341:33:+,LR633943.1,8160270,FALSE
0.085617,-1.0286,0.82806,-0.026563,0.0042358,119,10379:40:+,LR633943.1,8177689,FALSE
0.080616,-1.0571,0.85176,0.015839,0.0044551,120,10454:57:+,LR633943.1,8216351,FALSE
0.084617,-1.0341,0.8343,-0.033906,0.004205,121,10488:32:-,LR633943.1,8228438,FALSE
0.094219,-0.98289,0.72422,-0.046349,0.0041683,122,10590:63:+,LR633943.1,8257075,FALSE
0.094219,-0.98289,0.72422,-0.054993,0.0041465,123,10625:135:+,LR633943.1,8267644,FALSE
0.091218,-0.99838,0.77404,-0.0418,0.0041745,124,10650:221:-,LR633943.1,8273488,FALSE
0.086017,-1.0264,0.82531,-0.045377,0.0041566,125,10695:62:-,LR633943.1,8289981,FALSE
0.082216,-1.0478,0.84569,-0.025149,0.0042278,126,10698:12:+,LR633943.1,8290369,FALSE
0.078416,-1.0701,0.85795,-0.017425,0.0042515,127,10782:53:+,LR633943.1,8325948,FALSE
0.089218,-1.009,0.79799,-0.047239,0.0041536,128,10839:273:-,LR633943.1,8353109,FALSE
0.093819,-0.98493,0.73159,-0.03311,0.0042418,129,10911:26:+,LR633943.1,8419830,FALSE
0.085417,-1.0297,0.82928,-0.035858,0.0041927,130,10945:226:-,LR633943.1,8432094,FALSE
0.096619,-0.97081,0.67236,-0.053463,0.0041471,131,10988:11:+,LR633943.1,8451836,FALSE
0.096019,-0.9738,0.68579,-0.047295,0.004177,132,11131:110:+,LR633943.1,8518837,FALSE
0.083417,-1.0409,0.84034,-0.025662,0.0042388,133,11315:62:+,LR633943.1,8604926,FALSE
0.089618,-1.0068,0.79367,-0.046185,0.0041591,134,11394:51:+,LR633943.1,8638951,FALSE
0.096219,-0.9728,0.68103,-0.049598,0.0041587,135,11425:35:+,LR633943.1,8649670,FALSE
0.086417,-1.0241,0.82232,-0.0214,0.0042687,136,11470:87:-,LR633943.1,8672835,FALSE
0.097019,-0.96882,0.66322,-0.052814,0.0041573,137,11493:210:-,LR633943.1,8686047,FALSE
0.096219,-0.9728,0.68103,-0.050657,0.0041516,138,11641:9:+,LR633943.1,8773325,FALSE
0.095819,-0.9748,0.68927,-0.049943,0.0041596,139,11673:6:+,LR633943.1,8788886,FALSE
0.088818,-1.0111,0.80195,-0.034709,0.004202,140,11713:21:+,LR633943.1,8805470,FALSE
0.079216,-1.0653,0.85621,-0.010518,0.0043072,141,11868:67:-,LR633943.1,8907063,FALSE
0.09902,-0.95899,0.61669,-0.051829,0.0041734,142,11914:55:+,LR633943.1,8927569,FALSE
0.085217,-1.0308,0.83053,-0.02467,0.0042538,143,12104:102:-,LR633943.1,9032809,FALSE
0.094819,-0.97984,0.71195,-0.031568,0.0042351,144,12196:27:+,LR633943.1,9083544,FALSE
0.092018,-0.9942,0.76252,-0.046765,0.0041618,145,12212:38:+,LR633943.1,9087900,FALSE
0.096019,-0.9738,0.68579,-0.049773,0.0041536,146,12233:30:+,LR633943.1,9095217,FALSE
0.081016,-1.0547,0.85023,-0.041222,0.0041811,147,12312:89:-,LR633943.1,9169032,FALSE
0.091218,-0.99838,0.77404,-0.052729,0.0041388,148,12571:234:+,LR633943.1,9451672,FALSE
0.084217,-1.0364,0.83639,-0.030681,0.0042104,149,12612:75:+,LR633943.1,9467368,FALSE
0.087217,-1.0198,0.81635,-0.027601,0.0042392,150,12629:7:+,LR633943.1,9471051,FALSE
0.081216,-1.0536,0.8497,-0.010345,0.0043002,151,12686:71:+,LR633943.1,9491028,FALSE
0.088618,-1.0122,0.80409,-0.033283,0.0042171,152,12896:244:-,LR633943.1,9569162,FALSE
0.091618,-0.99629,0.76859,-0.025928,0.0042718,153,12979:31:+,LR633943.1,9594583,FALSE
0.09862,-0.96094,0.62659,-0.046526,0.0041865,154,13133:19:+,LR633943.1,9646349,FALSE
0.091818,-0.99524,0.76558,-0.040024,0.0041952,155,13458:29:+,LR633943.1,9771720,FALSE
0.088818,-1.0111,0.80195,-0.026448,0.0042641,156,13497:182:-,LR633943.1,9784352,FALSE
0.082817,-1.0443,0.8432,-6.4209e-4,0.0043793,157,13500:125:-,LR633943.1,9785108,FALSE
0.082817,-1.0443,0.8432,-5.0734e-4,0.0043452,158,13547:52:+,LR633943.1,9803781,FALSE
0.094619,-0.98085,0.71601,-0.043133,0.0041854,159,13585:17:+,LR633943.1,9815191,FALSE
0.090618,-1.0015,0.78215,-0.0083441,0.0043941,160,13612:196:-,LR633943.1,9823823,FALSE
0.079416,-1.0642,0.8556,0.01416,0.0044301,161,13640:152:+,LR633943.1,9834541,FALSE
0.087818,-1.0165,0.81102,-0.032204000000000003,0.0042234,162,13684:103:-,LR633943.1,9851214,FALSE
0.085417,-1.0297,0.82928,-0.039819,0.0041852,163,13808:11:-,LR633943.1,9902021,FALSE
0.089818,-1.0058,0.79166,-0.044662,0.0041493,164,13855:154:+,LR633943.1,9926443,FALSE
0.087217,-1.0198,0.81635,-0.030518,0.0042186,165,13923:46:+,LR633943.1,9956353,FALSE
0.088818,-1.0111,0.80195,-0.040268,0.0041798,166,13963:29:-,LR633943.1,9968043,FALSE
0.080416,-1.0582,0.85234,-0.021928,0.0042664,167,13988:97:-,LR633943.1,9975137,FALSE
0.080616,-1.0571,0.85176,-0.012438,0.0043169,168,14010:114:+,LR633943.1,9985254,FALSE
0.087217,-1.0198,0.81635,-0.042806,0.0041713,169,14145:46:-,LR633943.1,10059109,FALSE
0.081416,-1.0524,0.84889,-0.018412,0.0042649,170,14165:36:+,LR633943.1,10067090,FALSE
0.079016,-1.0665,0.85666,0.018101,0.0044691,171,14591:211:-,LR633943.1,10288105,FALSE
0.16743,-0.69658,0.31503,0.16818,0.0059224,172,14608:8:+,LR633943.1,10292472,FALSE
0.087217,-1.0198,0.81635,-0.036982,0.004193,173,14661:89:-,LR633943.1,10309803,FALSE
0.089018,-1.01,0.79993,-0.041049,0.0041951,174,14722:27:+,LR633943.1,10339928,FALSE
0.080616,-1.0571,0.85176,-0.0096879,0.0042917,175,14812:31:+,LR633943.1,10407747,FALSE
0.089418,-1.0079,0.79573,-0.040803,0.004193,176,14905:43:+,LR633943.1,10451190,FALSE
0.081616,-1.0512,0.84805,-0.021098,0.0042434,177,14994:254:-,LR633943.1,10491623,FALSE
0.080816,-1.0559,0.85097,-0.0082882,0.0043021,178,15028:27:+,LR633943.1,10502127,FALSE
0.085017,-1.0319,0.83193,-0.018183,0.0042693,179,15100:54:+,LR633943.1,10540571,FALSE
0.079416,-1.0642,0.8556,-0.018022,0.0043012,180,15200:62:+,LR633943.1,10580766,FALSE
0.084617,-1.0341,0.8343,-0.028505,0.0042537,181,15217:14:+,LR633943.1,10593754,FALSE
0.075415,-1.0885,0.86347,-0.011694,0.0042809,182,15238:62:+,LR633943.1,10597719,FALSE
0.090818,-1.0005,0.77939,-0.034505,0.0042283,183,15241:34:+,LR633943.1,10598187,FALSE
0.085017,-1.0319,0.83193,0.014241,0.0044864,184,15336:35:-,LR633943.1,10633998,FALSE
0.078616,-1.0689,0.85751,-0.014532,0.0042675,185,15405:16:+,LR633943.1,10657520,FALSE
0.076815,-1.0798,0.86131,0.0023636,0.0043607,186,15410:8:+,LR633943.1,10658197,FALSE
0.083417,-1.0409,0.84034,0.028072,0.0045855,187,15448:82:-,LR633943.1,10671176,FALSE
0.092418,-0.99213,0.75597,-0.041655,0.004199,188,15461:112:-,LR633943.1,10673595,FALSE
0.12062,-0.86274,0.44234,0.085969,0.0050464,189,15475:166:-,LR633943.1,10677540,FALSE
0.094019,-0.9839,0.7273,-0.052501,0.0041467,190,15629:104:-,LR633943.1,10747327,FALSE
0.12583,-0.84183,0.42237,0.10127,0.0051648,191,15749:10:+,LR633943.1,10795303,FALSE
0.089018,-1.01,0.79993,-0.039736,0.0041814,192,15788:55:+,LR633943.1,10812488,FALSE
0.091818,-0.99524,0.76558,-0.055636,0.0041236,193,15899:172:-,LR633943.1,10862616,FALSE
0.093819,-0.98493,0.73159,-0.055984,0.0041254,194,15921:72:+,LR633943.1,10870020,FALSE
0.087017,-1.0209,0.81776,-0.038926,0.0042016,195,16022:6:+,LR633943.1,10913633,FALSE
0.077215,-1.0774,0.86052,-0.023246,0.0042304,196,16037:247:-,LR633943.1,10917788,FALSE
0.076015,-1.0848,0.86258,0.01662,0.0044633,197,16099:26:+,LR633943.1,10941621,FALSE
0.082416,-1.0466,0.84493,-0.0026809,0.0043425,198,16202:49:-,LR633943.1,10975087,FALSE
0.090618,-1.0015,0.78215,0.030758,0.0045736,199,16379:14:+,LR633943.1,11032072,FALSE
0.095019,-0.97883,0.70681,-0.051465,0.0041341,200,16397:191:-,LR633943.1,11036704,FALSE
0.097219,-0.96783,0.65767,-0.058844,0.0041365,201,16403:225:-,LR633943.1,11042638,FALSE
0.093619,-0.98595,0.73523,-0.052549,0.0041586,202,16408:52:+,LR633943.1,11045270,FALSE
0.091618,-0.99629,0.76859,-0.050473,0.0041477,203,16440:103:+,LR633943.1,11055012,FALSE
0.083817,-1.0387,0.83837,-0.029922,0.0042094,204,16704:32:-,LR633943.1,11145861,FALSE
0.089018,-1.01,0.79993,-0.039856,0.0042154,205,16753:149:+,LR633943.1,11159889,FALSE
0.084017,-1.0375,0.83733,-0.020685,0.0042654,206,16763:9:+,LR633943.1,11162694,FALSE
0.091218,-0.99838,0.77404,-0.038849,0.0041972,207,16770:144:-,LR633943.1,11164497,FALSE
0.093819,-0.98493,0.73159,-0.052796,0.0041407,208,16991:107:-,LR633943.1,11275587,FALSE
0.9842,1.7943,0.0024937,1.4788,0.021073,209,17075:162:-,LR633943.1,11396908,TRUE
0.085017,-1.0319,0.83193,-0.032205,0.0042041,210,17190:71:-,LR633943.1,11531749,FALSE
0.086417,-1.0241,0.82232,-0.034841,0.0042119,211,18089:155:-,LR633943.1,11969632,FALSE
0.085817,-1.0275,0.82665,-0.028831,0.0042229,212,18101:11:+,LR633943.1,11976394,FALSE
0.079216,-1.0653,0.85621,0.012121,0.0044222,213,18111:34:+,LR633943.1,11980978,FALSE
0.093019,-0.98903,0.74632,-0.042038,0.0042084,214,18116:128:-,LR633943.1,11982216,FALSE
0.089218,-1.009,0.79799,-0.041081,0.0041848,215,18204:29:+,LR633943.1,12022065,FALSE
0.086617,-1.023,0.82064,0.0014297,0.0043696,216,18205:125:-,LR633943.1,12021914,FALSE
0.09902,-0.95899,0.61669,-0.051819,0.0041486,217,18219:23:+,LR633943.1,12030547,FALSE
0.092619,-0.99109,0.75268,-0.051404,0.0041525,218,18560:217:+,LR633943.1,12155365,FALSE
0.093819,-0.98493,0.73159,-0.039149,0.0042115,219,18654:124:-,LR633943.1,12205934,FALSE
0.086417,-1.0241,0.82232,-0.044063,0.0041639,220,18699:206:-,LR633943.1,12231211,FALSE
0.074415,-1.0948,0.86462,-0.013678,0.0042731,221,18785:82:+,LR633943.1,12276980,FALSE
0.088018,-1.0154,0.80958,-0.037587,0.0042026,222,19119:105:+,LR633943.1,12447885,FALSE
0.079616,-1.063,0.85493,-0.0086023,0.0043245,223,19232:162:-,LR633943.1,12520233,FALSE
0.088818,-1.0111,0.80195,-0.026938,0.0042525,224,19309:84:-,LR633943.1,12557394,FALSE
0.092218,-0.99316,0.75959,-0.047633,0.0041674,225,19342:86:-,LR633943.1,12575570,FALSE
0.091818,-0.99524,0.76558,-0.033739,0.0042164,226,19344:26:+,LR633943.1,12576681,FALSE
0.079416,-1.0642,0.8556,-2.6124e-4,0.0043394,227,19346:86:+,LR633943.1,12578081,FALSE
0.085617,-1.0286,0.82806,-0.02588,0.0042526,228,19541:251:-,LR633943.1,12687836,FALSE
0.088818,-1.0111,0.80195,-0.04314,0.0041624,229,19621:20:+,LR633943.1,12747825,FALSE
0.073815,-1.0986,0.86519,-0.018819,0.0042565,230,19699:95:+,LR633943.1,12775628,FALSE
0.10842,-0.91504,0.49967,0.081142,0.0051017,231,19837:64:+,LR633943.1,12864849,FALSE
0.084017,-1.0375,0.83733,-0.018082,0.0042849,232,19937:57:+,LR633943.1,12918053,FALSE
0.076015,-1.0848,0.86258,-0.023217,0.0042475,233,20005:14:+,LR633943.1,12959362,FALSE
0.090818,-1.0005,0.77939,0.02798,0.0045355,234,20009:11:+,LR633943.1,12959773,FALSE
0.089018,-1.01,0.79993,-0.011224,0.0043471,235,20023:77:-,LR633943.1,12968967,FALSE
0.080416,-1.0582,0.85234,0.0056546,0.0043886,236,20318:155:-,LR633943.1,13088861,FALSE
0.090818,-1.0005,0.77939,0.0076469,0.00446,237,20378:29:+,LR633943.1,13126405,FALSE
0.075215,-1.0897,0.86373,-0.025621,0.004223,238,20409:8:+,LR633943.1,13143611,FALSE
0.081616,-1.0512,0.84805,-0.010387,0.0043074,239,20432:14:-,LR633943.1,13149267,FALSE
0.083217,-1.0421,0.84123,-0.0086564,0.004323,240,20450:79:-,LR633943.1,13160486,FALSE
0.081416,-1.0524,0.84889,-0.010047,0.0043412,241,20833:54:+,LR633943.1,13447086,FALSE
0.14123,-0.78396,0.37478,0.13034,0.0057438,242,20849:70:-,LR633943.1,13457756,FALSE
0.089018,-1.01,0.79993,-0.032248,0.0042493,243,20861:122:-,LR633943.1,13467326,FALSE
0.088018,-1.0154,0.80958,-0.023341,0.0042597,244,20862:37:+,LR633943.1,13470863,FALSE
0.086417,-1.0241,0.82232,0.021285,0.0045042,245,21144:49:+,LR633943.1,13592119,FALSE
0.084417,-1.0353,0.83532,-0.040456,0.0041819,246,21158:36:-,LR633943.1,13595707,FALSE
0.073015,-1.1037,0.86588,0.0019592,0.0043357,247,21199:107:-,LR633943.1,13618029,FALSE
0.093819,-0.98493,0.73159,0.042994,0.0046647,248,21204:160:-,LR633943.1,13623746,FALSE
0.081016,-1.0547,0.85023,-0.018618,0.0042585,249,21351:181:+,LR633943.1,13697748,FALSE
0.097019,-0.96882,0.66322,-0.055071,0.0041364,250,21429:212:-,LR633943.1,13745529,FALSE
0.087417,-1.0187,0.81457,-0.034741,0.0042212,251,21463:31:-,LR633943.1,13759169,FALSE
0.10342,-0.93798,0.53905,0.060589,0.0047833,252,21633:228:-,LR633943.1,13878472,FALSE
0.56451,0.1127,0.082789,0.7504,0.011992,253,21682:274:-,LR633943.1,13893142,FALSE
